"","country","year","cpi","dyn_gdp","dyn_gdp_china","dyn_GDP_US","interest_rate_US","oil_yoy","dyn_consum","dyn_fx_rate","diff_priv_credit_gdp","net_lending","public_debt","interest_on_debt","overvaluation","ca_balance","dyn_fix_cap_form","dyn_export_share","diff_unempl","dyn_prod_dol","VIX","GDP_per_cap","developed","crisis_next_year","crisis_next_period","crisis_first_year"
"France.France.612","France",1993,2.10601041173684,-0.61265283344325,13.8675760159137,2.74585671892276,5.873333,-14.7120729439817,-1.12848794202801,6.97822097135674,-3.8235027765061,-6.299,46.299,5.57031469362189,-83.4899871628028,0.69,-5.30170463418639,-5.15358225979984,0.824999999999999,0.183616158221933,11.28,29.8236150248112,1,0,"0",0
"France.France.613","France",1994,1.66087292390915,2.3453855933703,13.0521587222365,4.03764342486481,7.08,-9.12827965847166,-1.53867881977611,-1.96327890620724,-4.44102353193639,-5.369,49.615,5.50035271591253,-83.357483593883,0.582,1.89478669378538,-0.686262676972926,0.4,3.49788569580374,14.09,30.4096863664008,1,0,"0",0
"France.France.614","France",1995,1.77811550151975,2.08508453656513,10.9492273730684,2.71897578878193,6.58,4.6177298548169,-1.60998285033186,-10.0965049814978,-0.698525792927299,-5.124,55.806,5.06755545998638,-81.6487386262498,0.455,1.48813970087811,1.14626690291166,-0.159000000000001,0.614590446648688,13.39,30.9318113478034,1,0,"0",0
"France.France.615","France",1996,2.00477822790072,1.3880040284493,9.92837246319103,3.79588122942587,6.438334,17.9766104771473,-0.598950213627036,2.48503325414844,-3.23790354384741,-3.9,59.685,5.04314316830024,-82.1719091256074,1.199,1.69407666075123,-2.41336779375846,0.325000000000001,0.638444725641318,21.540001,31.2502998100345,1,0,"0",0
"France.France.616","France",1997,1.22199592668024,2.33733340443809,9.23076923076909,4.4870264931673,6.3525,-9.69662519331346,-2.58060894541589,14.0976638587099,-0.973974747549093,-3.626,61.097,4.97405764603827,-84.5117739358626,3.697,1.46400698026947,-3.24735262929056,0.0589999999999993,2.56043893238842,24.34,31.8677936346487,1,0,"0",0
"France.France.617","France",1998,0.595238095238107,3.55620125228611,7.83761391880728,4.44991096328404,5.264167,-34.4214815468494,-1.18716924402578,1.07636317948381,-0.7872091380233,-2.407,61.04,4.77391874180865,-84.6936587506308,3.669,6.61800255209199,6.87980087898517,-0.199999999999999,2.16884926163277,25.379999,32.8796542357604,1,0,"0",0
"France.France.618","France",1999,0.533377781481773,3.40709914884665,7.66748617086637,4.68519960839866,5.636667,38.2686130479186,-0.794824114090831,-84.0959429356024,-0.7872091380233,-1.578,60.185,4.45792140898895,-5.03721999999999,4.203,8.36151976271362,-4.47982426254422,-0.25,2.11953616738119,24.360001,33.8254345557452,1,0,"0",0
"France.France.619","France",2000,1.69941142336033,3.87516225904458,8.49150849150837,4.09217644881066,6.029167,53.4148501304938,-1.0300313251999,15.3962754439151,-0.7872091380233,-1.318,58.601,4.39753587822733,-18.2614,2.629,9.11373474469881,-10.0229623972328,-1.267,1.20708441045143,27.93,34.8963884520384,1,0,"0",0
"France.France.620","France",2001,1.6302575806981,1.95444942459253,8.33991054985566,0.975981833932127,5.0175,-16.5916713904271,-1.43265963747987,3.12639571237159,-0.7872091380233,-1.437,58.092,4.46016663223852,-20.91852,2.847,4.02724860739121,2.75579646601773,-0.717000000000001,0.063328548509678,23.780001,35.320424035786,1,0,"0",0
"France.France.621","France",2002,1.91690728264391,1.11845689155015,9.13064594463338,1.78612768745552,4.610833,0.776871746321239,-2.26703261358734,-5.28764805414552,-0.895175559333197,-3.088,60.015,4.39056902441056,-16.12528,2.108,0.539406924353081,0.624412039724342,-0.183,0.146618286148259,28.74,35.4566763421496,1,0,"0",0
"France.France.622","France",2003,2.10907373888375,0.819531669596629,10.0356030262568,2.80677595648093,4.015,12.6483302160957,-1.32440287343435,-16.4073550212164,-0.504244121449901,-3.859,64.143,3.88506929828664,0.224320000000002,1.567,3.09704722516111,0.467234393056626,0.225,-1.45876999884141,17.959999,35.4947828624538,1,0,"0",0
"France.France.623","France",2004,2.1348747591519,2.78642411077925,10.1112234580387,3.78574284969444,4.274167,29.2802993398191,-1.88622100279702,-9.06021384355655,1.0555641370579,-3.489,65.673,3.80217136418315,9.09003,1.126,6.13659156637747,-4.20089236843291,0.324999999999999,2.92759571602643,13.39,36.2161670150247,1,0,"0",0
